Series,Event,Temperature_C,Mode,Image,Rvis_nm,DeltaR_nm,Rvis_offset_nm,Log_width_offset,Status
irradiated,0,25.0,BF,Image 1316,0.7859959373121708,0.09618963013246372,-0.21400406268782923,-0.9551393608817059,calibrated and frozen
irradiated,0,25.0,BF,Image 1535,0.8425503587978261,0.1402168445960048,-0.15744964120217386,-0.5782708035743614,calibrated and frozen
irradiated,0,25.0,BF,Image 1549,0.9470277013317351,0.4225589338452689,-0.052972298668264896,0.52486800759855,calibrated and frozen
irradiated,0,25.0,DF,Image 1620,0.7799303057884382,0.11135850885275826,0.27993030578843825,-0.2978804879306321,calibrated and frozen
irradiated,0,25.0,DF,Image 1640,0.411232627061762,0.17951406143824183,-0.088767372938238,0.17961824746721564,calibrated and frozen
irradiated,0,25.0,DF,Image 1642,0.4634629033939804,0.12505218990662917,-0.03653709660601962,-0.18190412467783124,calibrated and frozen
irradiated,1,900.0,BF,Image 0921,0.9117665994905528,0.12711415741823814,-0.0882334005094472,-0.676375357842973,calibrated and frozen
irradiated,1,900.0,BF,Image 1529,1.5,0.4133567289841949,0.5,0.5028500528479888,calibrated and frozen
irradiated,1,900.0,DF,Image 1615,0.6788452099876798,0.10652488002454825,0.17884520998767986,-0.342256720976596,calibrated and frozen
irradiated,1,900.0,DF,Image 1616,0.6680165732767922,0.2770662365297139,0.16801657327679223,0.6136213045521008,calibrated and frozen
irradiated,2,1100.0,BF,Image 1155,0.9382245657065047,0.23398806509944578,-0.061775434293495336,-0.06619080765380782,calibrated and frozen
irradiated,2,1100.0,BF,Image 1449,1.1924717895196681,0.2581623873298519,0.19247178951966806,0.032127877320310236,calibrated and frozen
irradiated,2,1100.0,DF,Image 1119,0.3179513581290958,0.13551714285125163,-0.18204864187090417,-0.10153714627151986,calibrated and frozen
irradiated,2,1100.0,DF,Image 1135,1.75,0.7499999999999999,1.25,1.6094379124341003,calibrated and frozen
