temperature_C,mode,n_images_pristine,n_images_irradiated,n_loops_pristine,n_loops_irradiated,density_pristine_nm3,density_irradiated_nm3,density_ratio,density_statistic,mean_diameter_pristine_nm,mean_diameter_irradiated_nm,mean_diameter_shift_nm,wasserstein_nm,energy_statistic,normalized_shape_statistic,joint_statistic,n_assignments,density_p_exact,shape_p_exact,joint_p_exact,density_min_p,shape_min_p,joint_min_p,density_q_bh,shape_q_bh,joint_q_bh,resolved_at_alpha,interpretation
25.0,DF,1,3,35,148,9.798157946306094e-06,2.804856567767407e-05,2.8626366130634158,1.0517430928292084,1.2854285714285716,1.24687242247186,-0.03855614895671167,0.254801166340203,0.2139466713184871,0.22118156800364847,1.074748723813386,4,0.5,0.75,0.5,0.25,0.25,0.25,0.8888888888888888,0.75,0.5,False,difference not resolved with available image replication
25.0,BF,1,3,916,4441,5.811850846081125e-05,9.536018277547304e-05,1.6407885422554072,0.4951769447283754,4.150174672489083,3.2454588186404028,-0.9047158538486801,0.9114062918447798,0.4422985943259479,0.35615720666071893,0.6099575087224475,4,0.25,0.25,0.25,0.25,0.25,0.25,0.8888888888888888,0.4444444444444444,0.4444444444444444,False,difference not resolved with available image replication
900.0,DF,2,2,413,898,3.403374117211464e-05,5.06069437356755e-05,1.4869638773988216,0.39673637491585567,1.985764965495105,2.9946618039135053,1.0088968384184003,1.0088968384183994,0.7168627004810892,0.4324461373417914,0.5868640497450921,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.4444444444444444,False,difference not resolved with available image replication
900.0,BF,2,2,1159,1851,6.229508196721311e-05,5.901821242730334e-05,0.9473976205435536,0.054036400060392016,4.142939613807673,6.798918324567793,2.6559787107601194,2.695554439500201,0.9850339873898946,0.7521078235212615,0.7540464910954601,6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.4444444444444444,False,difference not resolved with available image replication
