Image 1540,Image 1544
4.46,2.662
5.858,6.655
2.299,6.313
1.813,5.138
3.493,6.655
3.105,5.87
2.765,5.717
5.496,11.702
2.026,7.143
6.091,4.908
2.63,9.616
3.477,2.543
1.214,6.128
2.452,5.068
1.355,4.799
2.63,2.946
2.578,9.69
2.021,8.46
3.516,12.634
7.902,2.454
3.303,3.327
2.114,5.068
2.41,3.914
1.684,2.679
2.565,2.662
1.287,1.81
6.928,3.327
2.6,1.227
2.556,1.073
2.565,2.267
1.622,2.543
1.242,3.765
0.674,2.104
1.958,2.104
1.763,15.593
4.669,2.662
6.064,2.808
2.428,2.679
3.614,9.066
17.185,1.735
21.121,2.976
7.312,2.104
4.367,7.681
42.657,6.257
22.791,9.616
2.711,1.603
1.657,3.811
3.667,2.381
3.303,2.976
5.848,1.073
3.765,5.365
4.184,2.991
2.048,4.167
1.964,2.744
2.924,5.615
1.514,3.205
1.717,2.454
3.464,2.399
4.135,9.826
3.526,5.051
3.012,6.871
3.344,10.656
4.241,8.129
3.765,2.744
1.813,3.107
2.669,3.107
5.382,2.543
14.169,2.104
2.338,2.399
4.155,4.261
3.81,4.543
2.224,2.744
2.769,5.779
19.996,1.073
2.715,2.695
6.182,3.393
2.108,4.474
1.054,18.634
3.643,3.471
6.769,3.327
6.39,3.393
24.331,4.209
4.429,4.394
2.842,15.821
40.59,3.483
4.367,1.518
4.26,1.906
2.813,2.324
1.483,0.298
22.128,2.525
3.049,40.329
2.021,6.39
3.244,3.596
4.669,3.869
1.929,2.324
2.172,1.263
6.354,4.464
4.69,2.946
6.306,2.931
2.967,4.658
2.224,2.104
2.777,2.381
3.384,2.976
1.536,2.399
1.964,3.765
4.518,6.438
1.176,1.786
2.108,2.931
2.156,1.488
2.279,1.786
1.663,0.665
18.462,1.073
9.314,1.488
1.813,2.695
3.774,4.533
1.629,4.145
8.584,1.227
2.877,1.227
3.477,1.263
1.347,4.926
2.664,2.744
4.432,0.421
3.704,4.989
4.144,2.695
10.435,8.301
5.941,1.603
5.455,2.662
3.526,1.735
